"Name","Genre","Publisher","total_sales","exclusive","NA_Sales_prop","EU_Sales_prop","JP_Sales_prop","Other_Sales_prop"
"'98 Koshien","Sports","Magical Company",0.41,"yes",0.365853658536585,0.24390243902439,0.292682926829268,0.0731707317073171
".hack//G.U. Vol.1//Rebirth","Role-Playing","Namco Bandai Games",0.17,"yes",0,0,1,0
".hack//G.U. Vol.2//Reminisce","Role-Playing","Namco Bandai Games",0.23,"yes",0.478260869565217,0.391304347826087,0,0.130434782608696
".hack//G.U. Vol.2//Reminisce (jp sales)","Role-Playing","Namco Bandai Games",0.16,"yes",0,0,1,0
".hack//G.U. Vol.3//Redemption","Role-Playing","Namco Bandai Games",0.17,"yes",0,0,1,0
".hack//Infection Part 1","Role-Playing","Atari",1.27,"yes",0.385826771653543,0.299212598425197,0.204724409448819,0.102362204724409
".hack//Link","Role-Playing","Namco Bandai Games",0.14,"yes",0,0,1,0
".hack//Mutation Part 2","Role-Playing","Atari",0.68,"yes",0.338235294117647,0.264705882352941,0.294117647058824,0.0882352941176471
".hack//Outbreak Part 3","Role-Playing","Atari",0.46,"yes",0.304347826086957,0.239130434782609,0.369565217391304,0.0869565217391304
".hack//Quarantine Part 4: The Final Chapter","Role-Playing","Atari",0.18,"yes",0.5,0.388888888888889,0,0.111111111111111
".hack: Sekai no Mukou ni + Versus","Action","Namco Bandai Games",0.03,"yes",0,0,1,0
"007 Racing","Racing","Electronic Arts",0.53,"yes",0.566037735849057,0.377358490566038,0,0.0566037735849057
"007: Quantum of Solace","Action","Activision",3.92,"no",0.469387755102041,0.344387755102041,0.0102040816326531,0.173469387755102
"007: The World is not Enough","Action","Electronic Arts",2.47,"no",0.663967611336032,0.295546558704453,0.00809716599190283,0.0364372469635627
"007: Tomorrow Never Dies","Shooter","Electronic Arts",3.21,"yes",0.53582554517134,0.414330218068536,0,0.0498442367601246
"1 vs. 100","Misc","DSI Games",0.09,"yes",0.888888888888889,0,0,0.111111111111111
"1/2 Summer +","Adventure","Kaga Create",0.01,"yes",0,0,1,0
"10 Minute Solution","Sports","Activision",0.08,"yes",0.75,0.125,0,0.125
"100 All-Time Favorites","Puzzle","Ubisoft",0.51,"yes",0.686274509803921,0.235294117647059,0,0.0784313725490196
"100 Classic Books","Misc","Nintendo",0.67,"yes",0.194029850746269,0.776119402985075,0,0.0298507462686567
"100 Classic Games","Misc","Rondomedia",0.04,"yes",0,0.75,0,0
"1000 Cooking Recipes from ELLE à table","Misc","Nintendo",0.03,"yes",0,0.666666666666667,0,0
"1001 Touch Games","Action","Avanquest",0.33,"yes",0.363636363636364,0.515151515151515,0,0.121212121212121
"101-in-1 Explosive Megamix","Puzzle","Nordcurrent",0.2,"yes",0.25,0.65,0,0.1
"101-in-1 Party Megamix Wii","Misc","Nordcurrent",0.23,"yes",0.826086956521739,0.0434782608695652,0,0.0869565217391304
"101-in-1 Sports Megamix","Sports","Nordcurrent",0.08,"yes",1,0,0,0.125
"101-in-1 Sports Party Megamix","Sports","Nordcurrent",0.03,"yes",0.666666666666667,0,0,0
"1080°: TenEighty Snowboarding","Sports","Nintendo",2.03,"yes",0.61576354679803,0.300492610837438,0.0640394088669951,0.0246305418719212
"11eyes: CrossOver","Adventure","5pb",0.04,"no",0,0,1,0
"12-Sai. Honto no Kimochi","Adventure","Happinet",0.07,"yes",0,0,1,0
"12-Sai. Koisuru Diary","Adventure","Happinet",0.04,"yes",0,0,1,0
"12Riven: The Psi-Climinal of Integral","Adventure","CyberFront",0.04,"yes",0,0,1,0
"15 Days","Adventure","DTP Entertainment",0.01,"yes",0,1,0,0
"1701 A.D.","Simulation","Deep Silver",0.3,"yes",0,0.833333333333333,0,0.166666666666667
"18 Wheeler: American Pro Trucker","Racing","Acclaim Entertainment",0.51,"no",0.568627450980392,0.333333333333333,0,0.0980392156862745
"18 Wheels of Steel: Extreme Trucker","Racing","Rondomedia",0.02,"yes",0,1,0,0
"18 Wheels of Steel: Extreme Trucker 2","Racing","Rondomedia",0.11,"yes",0.727272727272727,0.181818181818182,0,0.0909090909090909
"187: Ride or Die","Racing","Ubisoft",0.21,"no",0.571428571428572,0.333333333333333,0,0.0952380952380952
"1942","Shooter","Capcom",1,"yes",0.65,0.14,0.21,0
"2 Games in 1 Double Pack: Hot Wheels Velocity X / Hot Wheels World Race","Racing","THQ",0.12,"yes",0.75,0.25,0,0
"2 Games in 1 Double Pack: The Incredibles / Finding Nemo: The Continuing Adventures","Action","THQ",1.76,"yes",0.715909090909091,0.267045454545455,0,0.0170454545454545
"2 Games in 1: Disney Princess & The Lion King","Misc","THQ",1.75,"yes",0.714285714285714,0.262857142857143,0,0.0171428571428571
"2 Games in 1: Disney's Brother Bear / The Lion King 1 1/2","Action","THQ",0.31,"yes",0.709677419354839,0.258064516129032,0,0.032258064516129
"2 Games in 1: Sonic Advance & ChuChu Rocket!","Misc","THQ",1.83,"yes",0.715846994535519,0.26775956284153,0,0.0163934426229508
"2 Games in 1: Sonic Battle & ChuChu Rocket!","Misc","THQ",0.61,"yes",0.721311475409836,0.262295081967213,0,0.0163934426229508
"2 Games in 1: Sonic Pinball Party & Columns Crown","Misc","Sega",0.06,"yes",0.666666666666667,0.333333333333333,0,0
"2 Games in 1: SpongeBob SquarePants: SuperSponge & Rugrats Go Wild","Platform","THQ",0.45,"yes",0.733333333333333,0.266666666666667,0,0.0222222222222222
"2 in 1 Combo Pack: Sonic Heroes / Super Monkey Ball Deluxe","Misc","Sega",0.53,"yes",0.754716981132076,0.207547169811321,0,0.0377358490566038
"2 in 1 Combo Pack: Sonic Heroes / Super Monkey Ball Deluxe","Misc","Ubisoft",0.12,"yes",0.75,0.0833333333333333,0,0.0833333333333333
"2-in-1 Game Pack: Spider-Man & Spider-Man 2","Platform","Activision",0.09,"yes",0.666666666666667,0.222222222222222,0,0
"2002 FIFA World Cup","Sports","Electronic Arts",0.83,"no",0.469879518072289,0.265060240963855,0.192771084337349,0.0843373493975904
"2010 FIFA World Cup South Africa","Sports","Electronic Arts",3,"no",0.313333333333333,0.486666666666667,0.0433333333333333,0.156666666666667
"2014 FIFA World Cup Brazil","Sports","Electronic Arts",1.18,"no",0.245762711864407,0.567796610169492,0.00847457627118644,0.169491525423729
"24: The Game","Adventure","Sony Computer Entertainment",0.3,"yes",0.5,0.4,0,0.133333333333333
"25 to Life","Shooter","Eidos Interactive",0.59,"no",0.796610169491525,0.0847457627118644,0,0.11864406779661
"2Xtreme","Sports","Sony Computer Entertainment",1.4,"yes",0.821428571428571,0.142857142857143,0,0.0357142857142857
"3 in 1: Solitaire, Mahjong & Tangram","Misc","Deep Silver",0.08,"yes",0,0.875,0,0.125
"300: March to Glory","Action","Warner Bros. Interactive Entertainment",0.41,"yes",0.658536585365854,0.195121951219512,0,0.146341463414634
"3D Baseball","Sports","BMG Interactive Entertainment",0.03,"yes",0.666666666666667,0.333333333333333,0,0
"3D Dot Game Heroes","Role-Playing","SouthPeak Games",0.57,"yes",0.631578947368421,0.210526315789474,0.0526315789473684,0.12280701754386
"3D Lemmings","Puzzle","Psygnosis",0.06,"yes",0.5,0.333333333333333,0,0
"3D Tank Warfare Simulator Panzer Front","Simulation","Avalon Interactive",0.1,"yes",0.6,0.4,0,0.1
"3DS Classic Collection","Misc","Sega",0.03,"yes",0.666666666666667,0,0,0
"3Xtreme","Action","989 Studios",0.9,"yes",0.555555555555556,0.377777777777778,0,0.0666666666666667
"3rd Super Robot Wars Z Jigoku Hen","Role-Playing","Namco Bandai Games",0.42,"no",0,0,1,0
"3rd Super Robot Wars Z: Tengoku-Hen","Action","Namco Bandai Games",0.34,"no",0,0,1,0
"4 Elements","Puzzle","Mastertronic",0.05,"yes",0,0.8,0,0.2
"4 Game Fun Pack: Monopoly / Boggle / Yahtzee / Battleship","Misc","Atari",0.12,"yes",0.916666666666667,0,0,0.0833333333333333
"4 Nin uchi Mahjong","Misc","Nintendo",1.45,"yes",0,0,1,0
"40 Winks","Platform","GT Interactive",0.31,"yes",0.548387096774194,0.387096774193548,0,0.0645161290322581
"428: Fuusa Sareta Shibuya de","Adventure","Sega",0.13,"yes",0,0,1,0
"428: Fuusa Sareta Shibuya de","Adventure","Spike",0.06,"no",0,0,1,0
"4x4 EVO 2","Racing","Gathering of Developers",0.24,"yes",0.75,0.208333333333333,0,0.0416666666666667
"4x4 EVO 2","Racing","Vivendi Games",0.14,"yes",0.785714285714286,0.214285714285714,0,0
"4x4 Evolution","Racing","Gathering of Developers",0.32,"yes",0.5,0.375,0,0.125
"50 Cent: Blood on the Sand","Shooter","THQ",0.4,"no",0.55,0.325,0.025,0.125
"50 Cent: Bulletproof","Action","Vivendi Games",2.3,"no",0.547826086956522,0.373913043478261,0,0.0826086956521739
"50 Classic Games","Misc","Avanquest Software",0.02,"yes",0,1,0,0
"50 Classic Games","Misc","Destineer",0.55,"yes",0.945454545454545,0,0,0.0727272727272727
"64 de Hakken! Tamagotchi Minna de Tamagotchi World","Misc","Namco Bandai Games",0.22,"yes",0,0,1,0
"7 Days to Die","Action","Telltale Games",0.16,"no",0.3125,0.5625,0,0.125
"7 Roses: A Darkness Rises","Misc","Avanquest Software",0.02,"yes",0,1,0,0
"7 Wonders II","Puzzle","Rondomedia",0.32,"yes",0.4375,0.46875,0,0.09375
"7 Wonders of the Ancient World","Puzzle","Funsta",0.13,"yes",0.769230769230769,0.0769230769230769,0,0.0769230769230769
"7 Wonders of the Ancient World","Puzzle","Mumbo Jumbo",0.08,"yes",0.875,0,0,0.125
"7 Wonders: Treasures of Seven","Puzzle","Avanquest",0.05,"yes",0.4,0.6,0,0.2
"7th Dragon","Role-Playing","Sega",0.14,"yes",0,0,1,0
"7th Dragon 2020","Role-Playing","Sega",0.2,"yes",0,0,1,0
"7th Dragon 2020-II","Role-Playing","Sega",0.13,"yes",0,0,1,0
"7th Dragon III Code: VFD","Role-Playing","Sega",0.16,"yes",0.1875,0,0.75,0
"99 no Namida","Adventure","Namco Bandai Games",0.04,"yes",0,0,1,0
"999: Nine Hours, Nine Persons, Nine Doors","Adventure","ChunSoft",0.43,"yes",0.86046511627907,0,0.0697674418604651,0.0697674418604651
"A Boy and His Blob","Platform","Majesco Entertainment",0.22,"yes",0.863636363636364,0.0909090909090909,0,0.0909090909090909
"A Bug's Life","Platform","Activision",0.63,"yes",0.777777777777778,0.206349206349206,0,0.0158730158730159
"A Bug's Life","Platform","Sony Computer Entertainment",2.79,"yes",0.702508960573477,0.258064516129032,0,0.039426523297491
"A Collection of Activision Classic Games for the Atari 2600","Misc","Activision",1.37,"yes",0.554744525547445,0.37956204379562,0,0.0656934306569343
"A Collection of Classic Games from the Intellivision","Misc","Activision",0.31,"yes",0.548387096774194,0.387096774193548,0,0.0645161290322581
"A Game of Thrones: Genesis","Strategy","Focus Home Interactive",0.04,"yes",0,0.75,0,0.25
"A Good Librarian Like a Good Shepherd: Library Party","Action","Kaga Create",0.03,"yes",0,0,1,0
"A New Beginning","Adventure","Deep Silver",0.06,"yes",0,0.833333333333333,0,0.166666666666667
"A Ressha de Gyoukou 2001","Simulation","ArtDink",0.03,"yes",0,0,1,0
"A Ressha de Ikou DS","Simulation","ArtDink",0.04,"yes",0,0,1,0
"A Vampyre Story","Adventure","Crimson Cow",0.02,"yes",0,0.5,0,0
"A Witch's Tale","Role-Playing","Nippon Ichi Software",0.11,"yes",0.727272727272727,0,0.272727272727273,0.0909090909090909
"A llI S.V.: A Ressha de Gyoukou 3 Super Version","Simulation","Pack-In-Video",0.06,"yes",0,0,1,0
"A-Train","Simulation","Sony Computer Entertainment",0.08,"yes",0.25,0.125,0.5,0.125
"A-Train 6","Strategy","Midas Interactive Entertainment",0.06,"yes",0,0,1,0
"A-Train: City Simulator","Simulation","ArtDink",0.06,"yes",0,0,1,0
"A. IV Evolution: A Ressha de Ikou 4","Strategy","ArtDink",0.25,"yes",0,0,0.96,0.08
"A.C.E.: Another Century's Episode","Simulation","Banpresto",0.26,"yes",0,0,1,0
"A.C.E.: Another Century's Episode 2","Simulation","Banpresto",0.18,"yes",0,0,1,0
"A.C.E.: Another Century's Episode 3: The Final","Simulation","Banpresto",0.26,"yes",0,0,1,0
"A.C.E.: Another Century's Episode Portable","Simulation","Namco Bandai Games",0.12,"yes",0,0,1,0
"A.C.E.: Another Century's Episode R","Simulation","Namco Bandai Games",0.26,"yes",0,0,1,0
"ABBA: You Can Dance","Misc","Ubisoft",0.8,"yes",0.2375,0.625,0,0.1375
"AC/DC LIVE: Rock Band Track Pack","Misc","MTV Games",0.91,"no",0.824175824175824,0.0769230769230769,0,0.0879120879120879
"AIR","Adventure","Prototype",0.02,"yes",0,0,1,0
"AKB1/149: Love Election","Adventure","Namco Bandai Games",0.38,"no",0,0,1,0
"AKB1/48: Idol to Guam de Koishitara...","Misc","N/A",0.01,"yes",0,0,1,0
"AKB1/48: Idol to Guam de Koishitara...","Misc","Namco Bandai Games",0.4,"yes",0,0,1,0
"AKB1/48: Idol to Koishitara...","Misc","Namco Bandai Games",0.41,"yes",0,0,1,0
"AKB48+Me","Action","Unknown",0.11,"yes",0,0,1,0
"AMF Bowling 2004","Sports","Mud Duck Productions",0.3,"yes",0.733333333333333,0.2,0,0.0333333333333333
"AMF Bowling Pinbusters!","Sports","Bethesda Softworks",0.91,"yes",0.934065934065934,0,0,0.0769230769230769
"AMF Bowling Pinbusters!","Sports","Vir2L Studios",0.07,"yes",0.857142857142857,0,0,0
"AMF Bowling World Lanes","Sports","Bethesda Softworks",0.36,"yes",0.916666666666667,0,0,0.0833333333333333
"AMF Xtreme Bowling","Sports","Mastertronic",0.02,"yes",0.5,0.5,0,0
"AMNESIA World","Adventure","Idea Factory",0.03,"yes",0,0,1,0
"APB Reloaded","Role-Playing","Iceberg Interactive",0.04,"yes",0.5,0.25,0,0
"ASH: Archaic Sealed Heat","Role-Playing","Nintendo",0.12,"yes",0,0,1,0
"ATV Offroad Fury","Racing","Sony Computer Entertainment",2.41,"yes",0.858921161825726,0.107883817427386,0,0.033195020746888
"ATV Offroad Fury 2","Racing","THQ",2.18,"yes",0.880733944954128,0.0917431192660551,0,0.0275229357798165
"ATV Offroad Fury 3","Racing","SouthPeak Games",1.2,"yes",0.833333333333333,0.0333333333333333,0,0.133333333333333
"ATV Offroad Fury Pro","Racing","Sony Computer Entertainment",0.46,"yes",0.804347826086956,0.0869565217391304,0,0.108695652173913
"ATV Offroad Fury: Blazin' Trails","Racing","SouthPeak Games",0.57,"yes",0.929824561403509,0,0,0.0701754385964912
"ATV Quad Kings","Racing","Storm City Games",0.11,"yes",0.909090909090909,0,0,0.0909090909090909
"ATV Quad Kings","Racing","Zoo Digital Publishing",0.22,"yes",0.954545454545454,0,0,0.0454545454545455
"ATV Quad Power Racing 2","Racing","Acclaim Entertainment",1.57,"no",0.630573248407643,0.286624203821656,0,0.0828025477707006
"ATV/Monster Truck Mayhem","Racing","Destination Software, Inc",0.36,"yes",0.916666666666667,0,0,0.0555555555555556
"ATV: Quad Frenzy","Racing","Majesco Entertainment",0.11,"yes",0.909090909090909,0,0,0.0909090909090909
"ATV: Quad Power Racing","Racing","Acclaim Entertainment",1.04,"yes",0.557692307692308,0.375,0,0.0673076923076923
"ATV: Quad Power Racing","Racing","Liquid Games",0.26,"yes",0.692307692307692,0.269230769230769,0,0
"Aa Megami-samaa","Adventure","Marvelous Interactive",0.01,"yes",0,0,1,0
"Abunai: Koi no Sousa Shitsu","Action","Asgard",0.02,"yes",0,0,1,0
"Abunai: Koi no Sousa Shitsu","Action","Quinrose",0.01,"yes",0,0,1,0
"Academy of Champions: Soccer","Sports","Ubisoft",0.13,"yes",0.769230769230769,0.153846153846154,0,0.0769230769230769
"Accel World: Ginyoku no Kakusei","Adventure","Namco Bandai Games",0.06,"no",0,0,1,0
"Accel World: Kasoku no Chouten","Adventure","Namco Bandai Games",0.03,"no",0,0,1,0
"Ace Attorney 6","Adventure","Capcom",0.27,"yes",0,0,1,0
"Ace Attorney Investigations 2","Adventure","Capcom",0.26,"yes",0,0,1,0
"Ace Attorney Investigations: Miles Edgeworth","Adventure","Capcom",0.76,"yes",0.355263157894737,0.197368421052632,0.394736842105263,0.0526315789473684
"Ace Combat 04: Shattered Skies","Simulation","Sony Computer Entertainment Europe",3.17,"yes",0.649842271293375,0.176656151419558,0.1198738170347,0.0536277602523659
"Ace Combat 2","Simulation","Sony Computer Entertainment",0.89,"yes",0.179775280898876,0.123595505617978,0.629213483146068,0.0674157303370786
"Ace Combat 3: Electrosphere","Simulation","Sony Computer Entertainment",0.83,"yes",0.265060240963855,0.180722891566265,0.481927710843374,0.0602409638554217
"Ace Combat 5: The Unsung War","Simulation","Sony Computer Entertainment Europe",1.71,"yes",0.514619883040936,0.198830409356725,0.187134502923977,0.105263157894737
"Ace Combat 6: Fires of Liberation","Simulation","Atari",1.02,"yes",0.676470588235294,0.0392156862745098,0.215686274509804,0.0588235294117647
"Ace Combat X: Skies of Deception","Simulation","Namco Bandai Games",0.99,"yes",0.373737373737374,0.313131313131313,0.121212121212121,0.191919191919192
"Ace Combat Zero: The Belkan War","Simulation","Namco Bandai Games",0.51,"yes",0.294117647058824,0.235294117647059,0.392156862745098,0.0784313725490196
"Ace Combat: Assault Horizon","Action","Namco Bandai Games",1.23,"no",0.48780487804878,0.227642276422764,0.203252032520325,0.0894308943089431
"Ace Combat: Assault Horizon Legacy","Simulation","Namco Bandai Games",0.24,"yes",0.416666666666667,0.25,0.333333333333333,0.0416666666666667
"Ace Combat: Joint Assault","Simulation","Namco Bandai Games",0.29,"yes",0.206896551724138,0.172413793103448,0.517241379310345,0.103448275862069
"Achtung Panzer: Kharkov 1943","Strategy","Mamba Games",0.02,"yes",0,0.5,0,0
"Act of Aggression","Strategy","Focus Home Interactive",0.01,"yes",0,1,0,0
"Action Bass","Action","Take-Two Interactive",1.14,"yes",0.56140350877193,0.37719298245614,0,0.0614035087719298
"Action Force","Action","CPG Products",0.54,"yes",0.925925925925926,0.0555555555555556,0,0.0185185185185185
"Action Man-Operation Extreme","Action","N/A",0.09,"yes",0.555555555555556,0.333333333333333,0,0.111111111111111
"Active Health with Carol Vorderman","Sports","Nintendo",0.19,"yes",0,0.947368421052632,0,0.0526315789473684
"Active Life Explorer","Sports","Namco Bandai Games",0.15,"yes",0.933333333333333,0,0,0.0666666666666667
"Active Life: Extreme Challenge","Sports","Namco Bandai Games",0.48,"yes",0.3125,0.5625,0,0.125
"Active Life: Magical Carnival","Misc","Namco Bandai Games",0.05,"yes",0.8,0.2,0,0
"Active Life: Outdoor Challenge","Sports","Atari",1.55,"yes",0.509677419354839,0.283870967741935,0.12258064516129,0.0903225806451613
"Activision Anthology","Misc","Activision",0.55,"no",0.509090909090909,0.363636363636364,0,0.109090909090909
"Activision Hits: Remixed","Misc","Activision",0.06,"yes",0.833333333333333,0,0,0
"Actua Tennis","Sports","Gremlin Interactive Ltd",0.13,"yes",0.538461538461539,0.384615384615385,0,0.0769230769230769
"Adidas Power Soccer","Sports","Psygnosis",0.04,"yes",0.5,0.25,0,0
"Adidas Power Soccer 98","Sports","Psygnosis",0.02,"yes",0.5,0.5,0,0
"Adrenalin Misfits","Racing","Konami Digital Entertainment",0.14,"yes",0.857142857142857,0.142857142857143,0,0.0714285714285714
"Advance Guardian Heroes","Role-Playing","Ubisoft",0.04,"yes",0.75,0.25,0,0
"Advance Wars","Strategy","Nintendo",0.7,"yes",0.714285714285714,0.271428571428571,0,0.0142857142857143
"Advance Wars 2: Black Hole Rising","Strategy","Nintendo",0.65,"yes",0.723076923076923,0.261538461538462,0,0.0153846153846154
"Advance Wars: Days of Ruin","Strategy","Nintendo",0.63,"yes",0.698412698412698,0.206349206349206,0,0.0952380952380952
"Advance Wars: Dual Strike","Strategy","Nintendo",0.4,"yes",0.75,0.075,0.1,0.075
"Advent Rising","Action","THQ",0.13,"yes",0.769230769230769,0.230769230769231,0,0
"Adventure","Adventure","Atari",1.3,"yes",0.930769230769231,0.0615384615384615,0,0.00769230769230769
"Adventure Island","Platform","Hudson Soft",1.05,"yes",0,0,1,0
"Adventure Time: Explore the Dungeon Because I Don't Know!","Action","D3Publisher",0.3,"no",0.566666666666667,0.333333333333333,0,0.1
"Adventure Time: Finn & Jake Investigations","Action","Little Orbit",0.45,"no",0.311111111111111,0.577777777777778,0,0.111111111111111
"Adventure Time: The Secret of the Nameless","Adventure","Little Orbit",0.03,"no",0.666666666666667,0,0,0
"Adventure Time: The Secret of the Nameless Kingdom","Action","Little Orbit",0.17,"no",0,0.882352941176471,0,0.0588235294117647
"Adventures of Lolo","Puzzle","HAL Laboratory",0.06,"yes",1,0,0,0
"Adventures of Tron","Action","Mattel Interactive",0.67,"yes",0.940298507462687,0.0447761194029851,0,0.0149253731343284
"Adventures to Go!","Role-Playing","Zushi Games",0.13,"yes",0.769230769230769,0,0.0769230769230769,0.0769230769230769
"Aedis Eclipse: Generation of Chaos","Role-Playing","Idea Factory",0.02,"yes",1,0,0,0
"Aegis of Earth: Protonovus Assault","Action","PQube",0.09,"no",0.555555555555556,0.222222222222222,0,0.111111111111111
"Aeon Flux","Action","THQ",0.05,"no",0.6,0.4,0,0.2
"Aero Elite: Combat Academy","Simulation","Sega",0.07,"yes",0.571428571428571,0.428571428571428,0,0.142857142857143
"Aero Gauge","Racing","ASCII Entertainment",0.07,"yes",0.857142857142857,0.142857142857143,0,0
"AeroFighters Assault","Action","Video System",0.19,"yes",0.789473684210526,0.210526315789474,0,0
"Afrika","Adventure","Unknown",0.21,"yes",0.571428571428571,0,0.380952380952381,0.0476190476190476
"Afro Samurai","Action","Atari",0.44,"no",0.636363636363636,0.227272727272727,0,0.113636363636364
"After Hours Athletes","Sports","Sony Computer Entertainment",0.12,"yes",0,0.833333333333333,0,0.25
"Again","Adventure","Ackkstudios",0.07,"yes",1,0,0,0
"Agarest Senki: Re-appearance","Role-Playing","Idea Factory",0.01,"yes",0,0,1,0
"Agassi Tennis Generation","Sports","DreamCatcher Interactive",0.09,"yes",0.444444444444444,0.333333333333333,0,0.111111111111111
"Agatha Christie's The ABC Murders","Adventure","Microids",0.02,"yes",0.5,0.5,0,0
"Agatha Christie: And Then There Were None","Adventure","The Adventure Company",0.08,"yes",0.75,0.125,0,0.125
"Agatha Christie: Death on the Nile","Adventure","Big Fish Games",0.02,"yes",0,0.5,0,0
"Agatha Christie: Evil Under the Sun","Adventure","The Adventure Company",0.09,"yes",0.777777777777778,0.222222222222222,0,0.111111111111111
"Agatha Christie: Peril at End House","Adventure","JoWood Productions",0.01,"yes",0,1,0,0
"Agatha Christie: The ABC Murders","Adventure","JoWood Productions",0.1,"yes",0.8,0.1,0,0.1
"Agatha Christie: The ABC Murders","Adventure","Microids",0.02,"yes",0,1,0,0
"Age of Conan: Rise of the Godslayer","Role-Playing","Funcom",0.03,"yes",0,0.666666666666667,0,0
"Age of Empires II: The Age of Kings","Strategy","Microsoft Game Studios",0.1,"yes",0.1,0.8,0,0.2
"Age of Empires III","Strategy","Microsoft Game Studios",0.39,"yes",0,0.82051282051282,0,0.179487179487179
"Age of Empires III: Complete Collection","Strategy","Microsoft Game Studios",0.17,"yes",0.0588235294117647,0.705882352941176,0,0.176470588235294
"Age of Empires III: Gold Edition","Strategy","Microsoft Game Studios",0.03,"yes",0,0.666666666666667,0,0.333333333333333
"Age of Empires III: The Asian Dynasties","Strategy","Microsoft Game Studios",0.07,"yes",0,0.714285714285714,0,0.142857142857143
"Age of Empires Online","Strategy","Microsoft Game Studios",0.06,"yes",0.166666666666667,0.666666666666667,0,0.166666666666667
"Age of Empires: Collector's Edition","Strategy","Ubisoft",0.14,"yes",0.142857142857143,0.714285714285714,0,0.142857142857143
"Age of Empires: Mythologies","Strategy","THQ",0.22,"yes",0.772727272727273,0.136363636363636,0,0.0909090909090909
"Age of Empires: The Age of Kings","Strategy","THQ",0.23,"yes",0.826086956521739,0.0869565217391304,0,0.0869565217391304
"Age of Mythology","Strategy","Microsoft Game Studios",0.09,"yes",0.222222222222222,0.666666666666667,0,0.111111111111111
"Age of Mythology: The Titans","Strategy","Microsoft Game Studios",0.04,"yes",0.25,0.5,0,0
"Aggressive Inline","Sports","Acclaim Entertainment",0.47,"no",0.553191489361702,0.319148936170213,0,0.0851063829787234
"Agile Warrior F-111X","Simulation","Virgin Interactive",0.14,"yes",0.571428571428571,0.357142857142857,0,0.0714285714285714
"Aibou DS","Adventure","Tecmo Koei",0.08,"yes",0,0,1,0
"Aidyn Chronicles: The First Mage","Role-Playing","THQ",0.1,"yes",0.8,0.2,0,0
"Aikatsu! 2-nin no My Princess","Action","Namco Bandai Games",0.26,"yes",0,0,1,0
"Aikatsu! 365 Idol Days","Adventure","Namco Bandai Games",0.13,"yes",0,0,1,0
"Aikatsu! Cinderella Lesson","Role-Playing","Namco Bandai Games",0.2,"yes",0,0,1,0
"Aikatsu! My No.1 Stage!","Misc","Namco Bandai Games",0.07,"yes",0,0,1,0
"Ailu de Puzzle","Action","Capcom",0.04,"yes",0,0,1,0
